"word","occurrences","frequency","weight","stem"
"access",24,0.000024,0.976310,"access"
"accesses",1,0.000001,0.999002,"access"
"accessibility",2,0.000002,0.998004,"access"
"accessible",5,0.000005,0.995018,"access"
"accessions",1,0.000001,0.999002,"access"
"accessories",7,0.000007,0.993032,"accessori"
"accessory",1,0.000001,0.999002,"accessori"
"accident",33,0.000033,0.967571,"accid"
"accidental",9,0.000009,0.991050,"accident"
"accidental-war",1,0.000001,0.999002,"accidental-war"
"accidentally",6,0.000006,0.994024,"accident"
"accidents",8,0.000008,0.992040,"accid"
"acclaim",4,0.000004,0.996012,"acclaim"
"acclaimed",4,0.000004,0.996012,"acclaim"
"acclaims",1,0.000001,0.999002,"acclaim"
"acclamation",1,0.000001,0.999002,"acclam"
"acclimatized",1,0.000001,0.999002,"acclimat"
"accolade",2,0.000002,0.998004,"accolad"
"accolades",1,0.000001,0.999002,"accolad"
"accommodate",14,0.000014,0.986112,"accommod"
"accommodated",1,0.000001,0.999002,"accommod"
"accommodates",2,0.000002,0.998004,"accommod"
"accommodating",2,0.000002,0.998004,"accommod"
"accommodation",1,0.000001,0.999002,"accommod"
"accommodations",8,0.000008,0.992040,"accommod"
"accomodations",1,0.000001,0.999002,"accomod"
"accompanied",37,0.000037,0.963713,"accompani"
"accompanies",1,0.000001,0.999002,"accompani"
"accompaniment",8,0.000008,0.992040,"accompani"
"accompaniments",3,0.000003,0.997008,"accompani"
"accompanist",1,0.000001,0.999002,"accompanist"
"accompanists",1,0.000001,0.999002,"accompanist"
"accompany",8,0.000008,0.992040,"accompani"
"accompanying",17,0.000017,0.983161,"accompani"
"accomplice",2,0.000002,0.998004,"accomplic"
"accomplices",1,0.000001,0.999002,"accomplic"
"accomplish",24,0.000024,0.976310,"accomplish"
"accomplished",44,0.000044,0.956997,"accomplish"
"accomplishes",1,0.000001,0.999002,"accomplish"
"accomplishing",3,0.000003,0.997008,"accomplish"
"accomplishment",7,0.000007,0.993032,"accomplish"
"accomplishments",10,0.000010,0.990060,"accomplish"
"accord",9,0.000009,0.991050,"accord"
"accordance",20,0.000020,0.980219,"accord"
"accorded",4,0.000004,0.996012,"accord"
"according",140,0.000140,0.869484,"accord"
"accordingly",31,0.000031,0.969507,"accordingli"
"accordion",1,0.000001,0.999002,"accordion"
"accords",1,0.000001,0.999002,"accord"
"accosted",2,0.000002,0.998004,"accost"
"accosting",1,0.000001,0.999002,"accost"
"account",117,0.000117,0.889692,"account"
"accountability",4,0.000004,0.996012,"account"
"accountable",1,0.000001,0.999002,"account"
"accountant",2,0.000002,0.998004,"account"
"accountants",1,0.000001,0.999002,"account"
"accounted",5,0.000005,0.995018,"account"
"accounting",12,0.000012,0.988084,"account"
"accounts",38,0.000038,0.962751,"account"
"accouterments",1,0.000001,0.999002,"accouter"
"accreditation",7,0.000007,0.993032,"accredit"
"accredited",2,0.000002,0.998004,"accredit"
"accretion",3,0.000003,0.997008,"accret"
"accretions",2,0.000002,0.998004,"accret"
"accrued",3,0.000003,0.997008,"accru"
"accrues",1,0.000001,0.999002,"accru"
"accruing",7,0.000007,0.993032,"accru"
"acculturated",1,0.000001,0.999002,"accultur"
"acculturation",1,0.000001,0.999002,"accultur"
"accumulate",3,0.000003,0.997008,"accumul"
"accumulated",10,0.000010,0.990060,"accumul"
"accumulates",2,0.000002,0.998004,"accumul"
"accumulating",3,0.000003,0.997008,"accumul"
"accumulation",11,0.000011,0.989071,"accumul"
"accuracy",36,0.000036,0.964676,"accuraci"
"accurate",35,0.000035,0.965640,"accur"
"accurately",24,0.000024,0.976310,"accur"
"accusation",3,0.000003,0.997008,"accus"
"accusations",3,0.000003,0.997008,"accus"
"accuse",10,0.000010,0.990060,"accus"
"accused",25,0.000025,0.975335,"accus"
"accuses",2,0.000002,0.998004,"accus"
"accusing",8,0.000008,0.992040,"accus"
"accusingly",2,0.000002,0.998004,"accusingli"
"accustomed",15,0.000015,0.985127,"accustom"
"ace",15,0.000015,0.985127,"ace"
"aces",4,0.000004,0.996012,"ace"
"acetate",7,0.000007,0.993032,"acet"
"acetone",4,0.000004,0.996012,"aceton"
"acetonemia",3,0.000003,0.997008,"acetonemia"
"acey",3,0.000003,0.997008,"acey"
"achaeans",1,0.000001,0.999002,"achaean"
"achaeans'",1,0.000001,0.999002,"achaeans'"
"ache",4,0.000004,0.996012,"ach"
"ached",3,0.000003,0.997008,"ach"
"aches",1,0.000001,0.999002,"ach"
"acheson",2,0.000002,0.998004,"acheson"
"acheson's",1,0.000001,0.999002,"acheson'"
"achieve",51,0.000051,0.950329,"achiev"
"achieved",62,0.000062,0.939943,"achiev"
"achievement",65,0.000065,0.937130,"achiev"
"achievements",19,0.000019,0.981199,"achiev"
"achieves",5,0.000005,0.995018,"achiev"
"achieving",15,0.000015,0.985127,"achiev"
"achilles",1,0.000001,0.999002,"achil"
"aching",6,0.000006,0.994024,"ach"
"acid",13,0.000013,0.987097,"acid"
"acid-fast",1,0.000001,0.999002,"acid-fast"
"acidity",1,0.000001,0.999002,"acid"
"acids",7,0.000007,0.993032,"acid"
"acidulous",1,0.000001,0.999002,"acidul"
"ackerly",1,0.000001,0.999002,"ackerli"
"acknowledge",12,0.000012,0.988084,"acknowledg"
"acknowledged",12,0.000012,0.988084,"acknowledg"
"acknowledgement",2,0.000002,0.998004,"acknowledg"
"acknowledges",2,0.000002,0.998004,"acknowledg"
"acknowledging",1,0.000001,0.999002,"acknowledg"
"acknowledgment",2,0.000002,0.998004,"acknowledg"
"acknowledgments",1,0.000001,0.999002,"acknowledg"
"acolyte",1,0.000001,0.999002,"acolyt"
"aconte",1,0.000001,0.999002,"acont"
"acorns",1,0.000001,0.999002,"acorn"
"acourse",1,0.000001,0.999002,"acours"
"acoustic",1,0.000001,0.999002,"acoust"
"acoustical",3,0.000003,0.997008,"acoust"
"acoustically",1,0.000001,0.999002,"acoust"
"acoustics",1,0.000001,0.999002,"acoust"
"acquaint",3,0.000003,0.997008,"acquaint"
"acquaintance",9,0.000009,0.991050,"acquaint"
"acquainted",12,0.000012,0.988084,"acquaint"
"acquiesce",3,0.000003,0.997008,"acquiesc"
"acquiesced",1,0.000001,0.999002,"acquiesc"
"acquiescence",5,0.000005,0.995018,"acquiesc"
"acquiesence",1,0.000001,0.999002,"acquies"
"acquire",27,0.000027,0.973388,"acquir"
"acquired",26,0.000026,0.974361,"acquir"
"acquires",2,0.000002,0.998004,"acquir"
"acquiring",11,0.000011,0.989071,"acquir"
"acquisition",17,0.000017,0.983161,"acquisit"
"acquisitions",2,0.000002,0.998004,"acquisit"
"acquisitiveness",1,0.000001,0.999002,"acquisit"
"acquittal",2,0.000002,0.998004,"acquitt"
"acquitted",2,0.000002,0.998004,"acquit"
"acre",10,0.000010,0.990060,"acr"
"acre-feet",1,0.000001,0.999002,"acre-feet"
"acreage",11,0.000011,0.989071,"acreag"
"acres",44,0.000044,0.956997,"acr"
"acrid",1,0.000001,0.999002,"acrid"
"acrobacy",1,0.000001,0.999002,"acrobaci"
"acrobatic",2,0.000002,0.998004,"acrobat"
"acrobatics",1,0.000001,0.999002,"acrobat"
"acrobats",1,0.000001,0.999002,"acrobat"
"acropolis",6,0.000006,0.994024,"acropoli"
"across",282,0.000282,0.754493,"across"
"across-the-board",1,0.000001,0.999002,"across-the-board"
"acrylic",11,0.000011,0.989071,"acryl"
"acs",1,0.000001,0.999002,"ac"
"act",283,0.000283,0.753739,"act"
"acted",18,0.000018,0.982179,"act"
"acth",1,0.000001,0.999002,"acth"
"acting",61,0.000061,0.940882,"act"
"acting-president",1,0.000001,0.999002,"acting-presid"
"actinometer",1,0.000001,0.999002,"actinomet"
"action",291,0.000291,0.747740,"action"
"action-oriented",1,0.000001,0.999002,"action-ori"
"action-packed",1,0.000001,0.999002,"action-pack"
"actions",68,0.000068,0.934326,"action"
"activate",2,0.000002,0.998004,"activ"
"activated",5,0.000005,0.995018,"activ"
"activating",1,0.000001,0.999002,"activ"
"activation",7,0.000007,0.993032,"activ"
"active",88,0.000088,0.915844,"activ"
"actively",12,0.000012,0.988084,"activ"
"actives",8,0.000008,0.992040,"activ"
"activism",2,0.000002,0.998004,"activ"
"activities",115,0.000115,0.891472,"activ"
"activity",116,0.000116,0.890582,"activ"
"actor",24,0.000024,0.976310,"actor"
"actor's",1,0.000001,0.999002,"actor'"
"actor-crooner",1,0.000001,0.999002,"actor-croon"
"actors",15,0.000015,0.985127,"actor"
"actress",6,0.000006,0.994024,"actress"
"actresses",3,0.000003,0.997008,"actress"
"acts",39,0.000039,0.961789,"act"
"actual",99,0.000099,0.905835,"actual"
"actualities",2,0.000002,0.998004,"actual"
"actuality",8,0.000008,0.992040,"actual"
"actually",166,0.000166,0.847191,"actual"
"actuarial",1,0.000001,0.999002,"actuari"
"actuarially",1,0.000001,0.999002,"actuari"
"actuate",1,0.000001,0.999002,"actuat"
"actuated",2,0.000002,0.998004,"actuat"
"acumen",1,0.000001,0.999002,"acumen"
"acute",13,0.000013,0.987097,"acut"
"acutely",5,0.000005,0.995018,"acut"
"ad",12,0.000012,0.988084,"ad"
"ad-lib",1,0.000001,0.999002,"ad-lib"
"ada",17,0.000017,0.983161,"ada"
"ada's",4,0.000004,0.996012,"ada'"
"adage",3,0.000003,0.997008,"adag"
"adagio",3,0.000003,0.997008,"adagio"
"adagios",1,0.000001,0.999002,"adagio"
"adair",2,0.000002,0.998004,"adair"
"adair's",1,0.000001,0.999002,"adair'"
"adam",44,0.000044,0.956997,"adam"
"adam's",2,0.000002,0.998004,"adam'"
"adamant",5,0.000005,0.995018,"adam"
"adamantly",1,0.000001,0.999002,"adamantli"
"adame",1,0.000001,0.999002,"adam"
"adamo",1,0.000001,0.999002,"adamo"
"adams",42,0.000042,0.958911,"adam"
"adams'",3,0.000003,0.997008,"adams'"
"adams's",1,0.000001,0.999002,"adams'"
"adamson",1,0.000001,0.999002,"adamson"
"adapt",5,0.000005,0.995018,"adapt"
"adaptable",2,0.000002,0.998004,"adapt"
"adaptaplex",1,0.000001,0.999002,"adaptaplex"
"adaptation",10,0.000010,0.990060,"adapt"
"adaptations",7,0.000007,0.993032,"adapt"
"adapted",13,0.000013,0.987097,"adapt"
"adapter",1,0.000001,0.999002,"adapt"
"adapters",2,0.000002,0.998004,"adapt"
"adapting",3,0.000003,0.997008,"adapt"
"adc",8,0.000008,0.992040,"adc"
"adcock",1,0.000001,0.999002,"adcock"
"add",88,0.000088,0.915844,"add"
"add-on",1,0.000001,0.999002,"add-on"
"addabbo",2,0.000002,0.998004,"addabbo"
"added",172,0.000172,0.842128,"ad"
"addict",1,0.000001,0.999002,"addict"
"addicted",3,0.000003,0.997008,"addict"
"addiction",3,0.000003,0.997008,"addict"
"addicts",4,0.000004,0.996012,"addict"
"adding",22,0.000022,0.978262,"ad"
"addison",1,0.000001,0.999002,"addison"
"addition",142,0.000142,0.867748,"addit"
"additional",120,0.000120,0.887030,"addit"
"additionally",5,0.000005,0.995018,"addit"
"additions",9,0.000009,0.991050,"addit"
"additive",3,0.000003,0.997008,"addit"
"additives",4,0.000004,0.996012,"addit"
"addle-brained",1,0.000001,0.999002,"addle-brain"
"address",77,0.000077,0.925963,"address"
"addressed",19,0.000019,0.981199,"address"
"addressees",1,0.000001,0.999002,"addresse"
"addresses",21,0.000021,0.979240,"address"
"addressing",9,0.000009,0.991050,"address"
"adds",10,0.000010,0.990060,"add"
"adduce",1,0.000001,0.999002,"adduc"
"ade",1,0.000001,0.999002,"ade"
"adele",2,0.000002,0.998004,"adel"
"adelia",5,0.000005,0.995018,"adelia"
"adelos",1,0.000001,0.999002,"adelo"
"adenauer",4,0.000004,0.996012,"adenau"
"adenauer's",1,0.000001,0.999002,"adenauer'"
"adenomas",1,0.000001,0.999002,"adenoma"
"adept",4,0.000004,0.996012,"adept"
"adequacy",3,0.000003,0.997008,"adequaci"
"adequate",66,0.000066,0.936195,"adequ"
"adequately",16,0.000016,0.984144,"adequ"
"aderholds",1,0.000001,0.999002,"aderhold"
"adhere",4,0.000004,0.996012,"adher"
"adhered",5,0.000005,0.995018,"adher"
"adherence",9,0.000009,0.991050,"adher"
"adherent",2,0.000002,0.998004,"adher"
"adherents",5,0.000005,0.995018,"adher"
"adheres",1,0.000001,0.999002,"adher"
"adhesion",2,0.000002,0.998004,"adhes"
"adhesive",6,0.000006,0.994024,"adhes"
"adhesives",2,0.000002,0.998004,"adhes"
"adieu",1,0.000001,0.999002,"adieu"
"adios",6,0.000006,0.994024,"adio"
"adios-direct",1,0.000001,0.999002,"adios-direct"
"adios-on",1,0.000001,0.999002,"adios-on"
"adios-rena",1,0.000001,0.999002,"adios-rena"
"adios-trustful",1,0.000001,0.999002,"adios-trust"
"adipic",1,0.000001,0.999002,"adip"
"adirondack",2,0.000002,0.998004,"adirondack"
"adirondacks",1,0.000001,0.999002,"adirondack"
"adjacent",12,0.000012,0.988084,"adjac"
"adjectival",3,0.000003,0.997008,"adjectiv"
"adjective",2,0.000002,0.998004,"adject"
"adjectives",4,0.000004,0.996012,"adject"
"adjoined",2,0.000002,0.998004,"adjoin"
"adjoining",13,0.000013,0.987097,"adjoin"
"adjoins",2,0.000002,0.998004,"adjoin"
"adjourned",2,0.000002,0.998004,"adjourn"
"adjourning",1,0.000001,0.999002,"adjourn"
"adjournment",4,0.000004,0.996012,"adjourn"
"adjourns",1,0.000001,0.999002,"adjourn"
"adjudged",1,0.000001,0.999002,"adjudg"
"adjudging",1,0.000001,0.999002,"adjudg"
"adjudicate",1,0.000001,0.999002,"adjud"
"adjudication",4,0.000004,0.996012,"adjud"
"adjunct",6,0.000006,0.994024,"adjunct"
"adjuncts",1,0.000001,0.999002,"adjunct"
"adjust",16,0.000016,0.984144,"adjust"
"adjustable",2,0.000002,0.998004,"adjust"
"adjusted",33,0.000033,0.967571,"adjust"
"adjusting",11,0.000011,0.989071,"adjust"
"adjustment",35,0.000035,0.965640,"adjust"
"adjustments",20,0.000020,0.980219,"adjust"
"adjusts",2,0.000002,0.998004,"adjust"
"adlai",7,0.000007,0.993032,"adlai"
"adler",3,0.000003,0.997008,"adler"
"admassy",2,0.000002,0.998004,"admassi"
"admassy's",2,0.000002,0.998004,"admassy'"
"administer",3,0.000003,0.997008,"administ"
"administered",14,0.000014,0.986112,"administ"
"administering",4,0.000004,0.996012,"administ"
"administers",1,0.000001,0.999002,"administ"
"administration",161,0.000161,0.851433,"administr"
"administration's",6,0.000006,0.994024,"administration'"
"administrative",53,0.000053,0.948432,"administr"
"administratively",1,0.000001,0.999002,"administr"
"administrator",15,0.000015,0.985127,"administr"
"administrators",5,0.000005,0.995018,"administr"
"adminstration",1,0.000001,0.999002,"adminstr"
"admirable",10,0.000010,0.990060,"admir"
"admirably",6,0.000006,0.994024,"admir"
"admirals",1,0.000001,0.999002,"admir"
"admiralty",1,0.000001,0.999002,"admiralti"
"admiration",10,0.000010,0.990060,"admir"
"admire",10,0.000010,0.990060,"admir"
"admired",17,0.000017,0.983161,"admir"
"admirer",3,0.000003,0.997008,"admir"
"admirers",2,0.000002,0.998004,"admir"
"admires",1,0.000001,0.999002,"admir"
"admiring",4,0.000004,0.996012,"admir"
"admiringly",1,0.000001,0.999002,"admiringli"
"admissible",9,0.000009,0.991050,"admiss"
"admission",33,0.000033,0.967571,"admiss"
"admissions",3,0.000003,0.997008,"admiss"
"admit",37,0.000037,0.963713,"admit"
"admits",2,0.000002,0.998004,"admit"
"admittance",1,0.000001,0.999002,"admitt"
"admitted",44,0.000044,0.956997,"admit"
"admittedly",3,0.000003,0.997008,"admittedli"
"admitting",8,0.000008,0.992040,"admit"
"admixed",1,0.000001,0.999002,"admix"
"admonished",2,0.000002,0.998004,"admonish"
"admonishing",1,0.000001,0.999002,"admonish"
"admonishments",1,0.000001,0.999002,"admonish"
"admonition",1,0.000001,0.999002,"admonit"
"admonitions",3,0.000003,0.997008,"admonit"
"adnan",1,0.000001,0.999002,"adnan"
"ado",4,0.000004,0.996012,"ado"
"adobe",2,0.000002,0.998004,"adob"
"adolescence",18,0.000018,0.982179,"adolesc"
"adolescent",12,0.000012,0.988084,"adolesc"
"adolescent's",3,0.000003,0.997008,"adolescent'"
"adolescents",7,0.000007,0.993032,"adolesc"
"adolf",4,0.000004,0.996012,"adolf"
"adolphus",1,0.000001,0.999002,"adolphu"
"adoniram",6,0.000006,0.994024,"adoniram"
"adonis",1,0.000001,0.999002,"adoni"
"adopt",13,0.000013,0.987097,"adopt"
"adopted",45,0.000045,0.956042,"adopt"
"adopting",11,0.000011,0.989071,"adopt"
"adoption",11,0.000011,0.989071,"adopt"
"adopts",2,0.000002,0.998004,"adopt"
"adorable",3,0.000003,0.997008,"ador"
"adore",2,0.000002,0.998004,"ador"
"adored",2,0.000002,0.998004,"ador"
"adores",1,0.000001,0.999002,"ador"
"adorn",1,0.000001,0.999002,"adorn"
"adorned",1,0.000001,0.999002,"adorn"
"adorns",1,0.000001,0.999002,"adorn"
"adrar",1,0.000001,0.999002,"adrar"
"adrenal",2,0.000002,0.998004,"adren"
"adrian",4,0.000004,0.996012,"adrian"
"adrianople",1,0.000001,0.999002,"adrianopl"
"adriatic",3,0.000003,0.997008,"adriat"
"adrien",2,0.000002,0.998004,"adrien"
"adrift",1,0.000001,0.999002,"adrift"
"adroit",1,0.000001,0.999002,"adroit"
"adroitness",1,0.000001,0.999002,"adroit"
"ads",10,0.000010,0.990060,"ad"
"adsorbed",3,0.000003,0.997008,"adsorb"
"adsorbs",1,0.000001,0.999002,"adsorb"
"adulation",1,0.000001,0.999002,"adul"
"adult",25,0.000025,0.975335,"adult"
"adulterated",1,0.000001,0.999002,"adulter"
