"stem","occurrences","frequency","weight"
"alai",1,0.000001,0.999002
"alain",1,0.000001,0.999002
"alamein",1,0.000001,0.999002
"alamo",1,0.000001,0.999002
"alamogordo",1,0.000001,0.999002
"alan",5,0.000005,0.995018
"alarm",26,0.000026,0.974361
"alarmingli",2,0.000002,0.998004
"alarmist",1,0.000001,0.999002
"alaska",22,0.000022,0.978262
"alastor",4,0.000004,0.996012
"alba",1,0.000001,0.999002
"albacor",1,0.000001,0.999002
"albani",11,0.000011,0.989071
"albania",3,0.000003,0.997008
"albanian",4,0.000004,0.996012
"albeit",2,0.000002,0.998004
"alber",1,0.000001,0.999002
"albert",29,0.000029,0.971445
"alberto",2,0.000002,0.998004
"albican",1,0.000001,0.999002
"albright",3,0.000003,0.997008
"albright'",2,0.000002,0.998004
"albrights'",1,0.000001,0.999002
"album",8,0.000008,0.992040
"albumin",10,0.000010,0.990060
"alchemi",1,0.000001,0.999002
"alcibiad",1,0.000001,0.999002
"alcinous'",1,0.000001,0.999002
"alcohol",23,0.000023,0.977286
"alcorn",2,0.000002,0.998004
"alcott'",1,0.000001,0.999002
"alcov",5,0.000005,0.995018
"alden",2,0.000002,0.998004
"alderman",1,0.000001,0.999002
"aldermen",2,0.000002,0.998004
"aldo",1,0.000001,0.999002
"aldridg",1,0.000001,0.999002
"ale",1,0.000001,0.999002
"alec",25,0.000025,0.975335
"alec'",5,0.000005,0.995018
"aleck",2,0.000002,0.998004
"alemagna",1,0.000001,0.999002
"alert",43,0.000043,0.957954
"alertli",1,0.000001,0.999002
"alessio",1,0.000001,0.999002
"alex",30,0.000030,0.970476
"alex'",10,0.000010,0.990060
"alexand",45,0.000045,0.956042
"alexander'",3,0.000003,0.997008
"alexandr",2,0.000002,0.998004
"alexandria",4,0.000004,0.996012
"alexei",1,0.000001,0.999002
"alexeyeva",1,0.000001,0.999002
"alexi",2,0.000002,0.998004
"alf",2,0.000002,0.998004
"alfa",1,0.000001,0.999002
"alfonso",1,0.000001,0.999002
"alfr",52,0.000052,0.949380
"alfred'",3,0.000003,0.997008
"alfredo",3,0.000003,0.997008
"alfresco",2,0.000002,0.998004
"alga",7,0.000007,0.993032
"algaecid",1,0.000001,0.999002
"algebra",6,0.000006,0.994024
"alger",1,0.000001,0.999002
"algeria",2,0.000002,0.998004
"algerian",5,0.000005,0.995018
"algin",1,0.000001,0.999002
"algol",3,0.000003,0.997008
"algorithm",1,0.000001,0.999002
"alia",2,0.000002,0.998004
"aliah",1,0.000001,0.999002
"alibi",9,0.000009,0.991050
"alic",14,0.000014,0.986112
"alicia",4,0.000004,0.996012
"alien",50,0.000050,0.951278
"alienu",1,0.000001,0.999002
"alight",3,0.000003,0.997008
"align",14,0.000014,0.986112
"alik",20,0.000020,0.980219
"alimoni",2,0.000002,0.998004
"aliquot",1,0.000001,0.999002
"alison",1,0.000001,0.999002
"aliv",57,0.000057,0.944650
"alix",2,0.000002,0.998004
"alix'",1,0.000001,0.999002
"alizarin",1,0.000001,0.999002
"alkali",6,0.000006,0.994024
"alkalin",2,0.000002,0.998004
"alkaloid",1,0.000001,0.999002
"alkylarysulfon",1,0.000001,0.999002
"alkylbenzenesulfon",1,0.000001,0.999002
"all",3001,0.002998,0.049891
"all-american",2,0.000002,0.998004
"all-american-boy",1,0.000001,0.999002
"all-automat",1,0.000001,0.999002
"all-colleg",1,0.000001,0.999002
"all-consum",1,0.000001,0.999002
"all-counti",1,0.000001,0.999002
"all-femal",1,0.000001,0.999002
"all-import",5,0.000005,0.995018
"all-inclus",1,0.000001,0.999002
"all-know",1,0.000001,0.999002
"all-lesbian",1,0.000001,0.999002
"all-marri",1,0.000001,0.999002
"all-negro",6,0.000006,0.994024
"all-night",1,0.000001,0.999002
"all-out",6,0.000006,0.994024
"all-ov",1,0.000001,0.999002
"all-pervad",1,0.000001,0.999002
"all-pow",2,0.000002,0.998004
"all-purpos",1,0.000001,0.999002
"all-round",1,0.000001,0.999002
"all-something-or-the-oth",1,0.000001,0.999002
"all-star",1,0.000001,0.999002
"all-tim",3,0.000003,0.997008
"all-too-brief",1,0.000001,0.999002
"all-victori",1,0.000001,0.999002
"all-weath",2,0.000002,0.998004
"all-whit",5,0.000005,0.995018
"all-woman",1,0.000001,0.999002
"alla",2,0.000002,0.998004
"allah",1,0.000001,0.999002
"allan",4,0.000004,0.996012
"allay",2,0.000002,0.998004
"alleg",19,0.000019,0.981199
"allegedli",4,0.000004,0.996012
"allegheni",2,0.000002,0.998004
"allegi",5,0.000005,0.995018
"allegor",5,0.000005,0.995018
"allegori",3,0.000003,0.997008
"allegretti",1,0.000001,0.999002
"allegro",2,0.000002,0.998004
"allemand",1,0.000001,0.999002
"allen",20,0.000020,0.980219
"allen'",1,0.000001,0.999002
"allerg",2,0.000002,0.998004
"allergi",2,0.000002,0.998004
"allevi",8,0.000008,0.992040
"alley",9,0.000009,0.991050
"alleyway",1,0.000001,0.999002
"alli",68,0.000068,0.934326
"allianc",21,0.000021,0.979240
"alliance'",1,0.000001,0.999002
"allig",5,0.000005,0.995018
"allison",1,0.000001,0.999002
"allison'",1,0.000001,0.999002
"allit",1,0.000001,0.999002
"alliter",1,0.000001,0.999002
"alloc",30,0.000030,0.970476
"allon",1,0.000001,0.999002
"allot",62,0.000062,0.939943
"allow",254,0.000254,0.775895
"alloy",6,0.000006,0.994024
"allso",1,0.000001,0.999002
"allstat",4,0.000004,0.996012
"allstates'",1,0.000001,0.999002
"allstates-zenith",1,0.000001,0.999002
"allud",3,0.000003,0.997008
"allur",3,0.000003,0.997008
"allus",9,0.000009,0.991050
"alma",7,0.000007,0.993032
"almaden",1,0.000001,0.999002
"almagest",4,0.000004,0.996012
"almanac",1,0.000001,0.999002
"almighti",5,0.000005,0.995018
"almond",4,0.000004,0.996012
"almost",432,0.000432,0.649498
"alo",2,0.000002,0.998004
"aloft",3,0.000003,0.997008
"alokut",1,0.000001,0.999002
"alon",197,0.000197,0.821357
"along",355,0.000355,0.701430
"alongsid",15,0.000015,0.985127
"aloof",6,0.000006,0.994024
"alor",2,0.000002,0.998004
"aloud",13,0.000013,0.987097
"alp",2,0.000002,0.998004
"alper",2,0.000002,0.998004
"alpert",6,0.000006,0.994024
"alpha",6,0.000006,0.994024
"alpha-beta-gamma",1,0.000001,0.999002
"alphabet",8,0.000008,0.992040
"alpharetta",1,0.000001,0.999002
"alphons",1,0.000001,0.999002
"alreadeh",1,0.000001,0.999002
"alreadi",273,0.000273,0.761307
"als",1,0.000001,0.999002
"alsatian",4,0.000004,0.996012
"also",1069,0.001068,0.343730
"alsop",3,0.000003,0.997008
"altairian",1,0.000001,0.999002
"altar",5,0.000005,0.995018
"altenburg",4,0.000004,0.996012
"alter",56,0.000056,0.945594
"alter-ego",1,0.000001,0.999002
"alter-par",1,0.000001,0.999002
"alterc",1,0.000001,0.999002
"alterman",1,0.000001,0.999002
"altern",76,0.000076,0.926889
"althau",1,0.000001,0.999002
"althea",1,0.000001,0.999002
"altho",2,0.000002,0.998004
"although",321,0.000321,0.725663
"altitud",4,0.000004,0.996012
"altitude-azimuth-mount",1,0.000001,0.999002
"alto",4,0.000004,0.996012
"altogeth",30,0.000030,0.970476
"alton",2,0.000002,0.998004
"altruism",1,0.000001,0.999002
"altruist",1,0.000001,0.999002
"alum",1,0.000001,0.999002
"aluminum",18,0.000018,0.982179
"alumna",1,0.000001,0.999002
"alumni",9,0.000009,0.991050
"alundum",1,0.000001,0.999002
"alusik",1,0.000001,0.999002
"alusik'",2,0.000002,0.998004
"alva",2,0.000002,0.998004
"alvarez",3,0.000003,0.997008
"alvear",1,0.000001,0.999002
"alveolar",9,0.000009,0.991050
"alveoli",4,0.000004,0.996012
"alveolu",1,0.000001,0.999002
"alvin",6,0.000006,0.994024
"alvis",2,0.000002,0.998004
"alway",458,0.000458,0.632846
"always-pres",1,0.000001,0.999002
"alwin",2,0.000002,0.998004
"am",237,0.000237,0.789184
"ama",1,0.000001,0.999002
"amade",4,0.000004,0.996012
"amadee'",1,0.000001,0.999002
"amado",1,0.000001,0.999002
"amalgam",2,0.000002,0.998004
"amanuensi",1,0.000001,0.999002
"amar",1,0.000001,0.999002
"amass",3,0.000003,0.997008
"amateur",27,0.000027,0.973388
"amateurish",4,0.000004,0.996012
"amatori",1,0.000001,0.999002
"amaz",44,0.000044,0.956997
"amazingli",3,0.000003,0.997008
"amazon",3,0.000003,0.997008
"ambassador",28,0.000028,0.972416
"ambassador'",1,0.000001,0.999002
"ambassador-at-larg",1,0.000001,0.999002
"ambassador-design",1,0.000001,0.999002
"amber",3,0.000003,0.997008
"ambianc",1,0.000001,0.999002
"ambidextr",1,0.000001,0.999002
"ambigu",40,0.000040,0.960829
"ambit",34,0.000034,0.966605
"ambiti",17,0.000017,0.983161
